system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146040_20230829_6,2.36,2023-08-29,41.78119892000001,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230829_7,2.36,2023-08-29,36.13804790000006,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230829_8,2.36,2023-08-29,39.84318158000002,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230829_9,2.36,2023-08-29,36.578972480000004,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20230930_0,0.05,2023-09-30,36.26109661999999,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20230930_1,0.05,2023-09-30,37.74793532000001,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20230930_2,0.05,2023-09-30,33.97444124000003,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20230930_3,0.05,2023-09-30,37.39246123999999,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20230930_4,0.05,2023-09-30,37.36853510000003,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20230930_5,0.05,2023-09-30,32.43633224000001,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20230930_6,0.05,2023-09-30,40.031172680000054,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20230930_7,0.05,2023-09-30,35.47153400000002,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20230930_8,0.05,2023-09-30,37.231814299999996,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20230930_9,0.05,2023-09-30,36.790889719999996,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20231101_0,0.09,2023-11-01,30.679469960000006,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20231101_1,0.09,2023-11-01,31.516884860000005,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
